x,y,token
-21.299747,26.394426,like
32.865025,-2.9426897,put
34.10228,20.858047,horses
-21.022165,13.925996,are
-14.912292,-29.268978,poor
-23.46363,21.441187,while
-51.686626,-13.71622,paying
0.6112812,-41.950245,our
13.227956,-0.050892472,They
-30.30415,48.13258,into
-32.6954,40.12213,stable
-11.282936,-38.635223,You
-50.262383,-6.997777,already
-48.788647,2.9562755,talked
-2.4171455,7.4056945,night
-20.5626,-47.22807,may
-19.324596,-15.694915,because
-50.492855,-27.42024,doubt
3.814327,-47.57659,whether
25.959497,-30.129108,take
-20.636652,-28.577322,anywhere
-21.531305,-29.165813,else
15.891658,-39.46117,That
-41.60685,38.839733,got
56.00769,-14.085924,Hannah
-24.755817,-40.605324,Nobody
-52.16841,-8.185916,mentioned
-25.616703,-45.18988,glad
-23.968718,-33.009144,lucky
-37.03635,-31.433695,slighted
-31.623137,28.28547,upon
-46.273438,-26.71236,account
-21.643837,-26.621454,make
55.160606,-9.951319,servant
-47.381134,-34.959312,pretty
39.48152,-16.428453,spoken
-52.176926,15.860164,girl
-47.122578,-27.148989,opinion
-15.8357935,-25.29717,Whenever
-20.096933,-35.152805,asks
-35.225113,24.47057,me
-19.976454,-41.249973,do
-39.381664,-14.298997,manner
40.718246,25.964031,needlework
-30.343834,-42.21775,observe
-29.180183,37.04625,turns
-19.466362,48.424526,lock
-32.087048,41.657795,door
-9.91662,-24.563517,right
-35.072132,-36.716232,comfort
-16.597416,-33.600086,somebody
-35.81865,23.037165,about
1.27425,-39.51354,goes
-32.331146,-27.760866,hearing
-20.957762,-41.84416,tell
-37.013668,-31.778435,spared
-49.226795,-15.934094,exertions
25.494053,-15.313279,maintain
20.343431,26.088455,flow
-48.14291,-21.702946,ideas
-50.73858,-32.21397,hoped
-23.626879,-44.244278,help
-47.452587,-31.568735,tolerably
-34.991295,0.6727345,attacked
-48.480247,-19.867659,regrets
-21.450531,49.551918,table
-41.313602,12.524061,placed
-51.562428,-12.021827,visitor
-45.592068,10.322352,immediately
-44.206306,16.524323,afterwards
-49.89403,4.83455,walked
-42.827854,-29.84203,unnecessary
-63.331482,-3.3513563,Knightley
-45.29092,-32.414764,sensible
54.095863,22.260845,eight
54.135284,22.289078,thirty
-49.58477,-18.864603,intimate
-46.451256,-29.435026,connected
61.299236,-20.830526,elder
59.795918,-19.41274,brother
-44.93188,-16.09483,frequent
